Large (More than 300 beds),Mid-sized (Between 200 and 300 beds),Small (Less than 200 beds)
17.7472203,16.343788,9.059299042
17.96259242,17.08475158,10.48123102
19.34371115,17.447044,11.51839743
19.95409141,19.24273042,11.72218233
20.95395977,19.90489383,11.84355908
21.02924091,19.90960042,12.22950272
21.16361129,20.10852196,12.36985574
21.42700396,20.48868594,12.53951869
21.60952423,20.75552421,12.79641144
21.84026799,21.056468,12.85503356
21.87424306,21.37619498,12.87325545
22.11512583,21.50667473,12.99041463
22.42777579,21.65445699,13.03716923
23.06817717,21.67988658,13.51241699
23.12803002,21.71224367,13.5647383
23.18170188,21.78383633,13.87938485
23.46544113,21.97812419,13.99043065
23.48003644,21.98907964,14.03835804
23.55221875,22.09792473,14.13750283
23.65174556,22.28976373,14.30386785
23.72930113,22.31202088,14.56411106
23.73014751,22.6276451,14.62274295
23.75712528,22.66173578,14.8707029
23.76004027,22.7255109,14.88596856
23.89167581,22.80769008,14.93156121
23.90486656,23.00885875,14.94486309
23.9565936,23.01120083,14.95643138
24.04942034,23.02992575,15.03840201
24.08811989,23.04716591,15.1126222
24.10703486,23.09172906,15.12592545
24.15633938,23.10396143,15.37052673
24.18372089,23.10552083,15.39068638
24.24354133,23.11291646,15.46907276
24.35013799,23.14973231,15.47424142
24.36121951,23.17670135,15.48451588
24.48429633,23.17981517,15.4897094
24.49765642,23.20176042,15.53300703
24.54290631,23.20407704,15.60544991
24.54396434,23.27254423,15.60669852
24.56822494,23.37530211,15.61878005
24.64479298,23.43502931,15.63194491
24.67146065,23.45976094,15.648447
24.74655152,23.51676864,15.85332996
24.77590275,23.53367792,15.89102457
24.86863354,23.63630758,15.99112548
24.87318997,23.63684781,15.99951521
24.87563888,23.73327506,16.02210285
24.97619145,23.75716742,16.03322819
25.02528694,23.82129106,16.07490029
25.03027201,23.83867856,16.12749281
25.08892898,23.88159605,16.19219063
25.14163391,23.88718926,16.1991525
25.15797729,23.9089281,16.27878945
25.16905654,23.91813715,16.337744
25.1974881,23.98531742,16.41334954
25.22101173,24.02492352,16.4294855
25.22627388,24.04266298,16.46689313
25.26393449,24.12846694,16.50402529
25.379227,24.1561651,16.51483056
25.41292315,24.28396352,16.66999289
25.50483507,24.32009744,16.68211675
25.53591542,24.51817985,16.762225
25.60122283,24.65423375,16.80659529
25.65186948,24.66170393,16.83807381
25.65889271,24.6787499,16.83820869
25.69022829,24.73380431,16.8933215
25.72468628,24.76331188,16.89825419
25.72651917,24.83151525,16.9703566
25.75448292,24.84596725,17.08117875
25.86367321,24.87442492,17.08604667
25.91280965,24.88840498,17.09319685
25.91658172,24.89817077,17.14978792
25.94948977,24.94691565,17.16717595
25.96565457,24.99852625,17.29415964
26.02112333,25.06336759,17.32093702
26.10293198,25.23251283,17.33026829
26.14352159,25.29003163,17.3327249
26.20147748,25.31265296,17.42658116
26.2156635,25.41713287,17.50391781
26.22234659,25.42016531,17.50578596
26.25052417,25.50231263,17.5070225
26.27405681,25.50503333,17.55139703
26.28965835,25.54819513,17.69419396
26.36126344,25.58329489,17.72733375
26.41297455,25.59531294,17.76628043
26.43746498,25.59944384,17.8566439
26.47138889,25.84841009,17.8932925
26.58551346,25.89000717,17.90494392
26.58659678,25.90539095,17.90700083
26.61109188,25.91470865,18.01619004
26.62947831,25.96941927,18.03858798
26.64410824,25.98989702,18.06071103
26.68032166,26.00346354,18.07082413
26.71057976,26.00929544,18.08434781
26.73369181,26.02334583,18.13529535
26.78029821,26.0943071,18.22864229
26.80048353,26.54196915,18.23183619
26.87802411,26.65528797,18.28563008
26.87935606,26.69783155,18.32746085
26.94599305,26.78844893,18.35870752
26.95891408,26.83552433,18.42733705
26.96601079,27.0377522,18.43889043
27.00099446,27.05426965,18.49216896
27.00740273,27.44908932,18.51398379
27.02174767,27.68015796,18.55469394
27.02332235,27.78566234,18.55500729
27.05550247,27.90036726,18.59282538
27.07318824,27.93618598,18.64437777
27.08462981,27.9851129,18.70425231
27.09041899,28.18170396,18.70590561
27.14935456,28.47258498,18.75341061
27.25507485,28.68640122,18.81876125
27.35619335,29.02136032,18.8450561
27.44567618,29.11769241,18.8535579
27.56498384,29.49437394,18.90582129
27.61448733,29.62709074,18.92233463
27.63793406,31.17213867,18.93457569
27.68583763,31.81702571,18.96470704
27.68685974,31.8203283,18.97524079
27.7336773,31.95755113,18.98814553
27.90687889,16.343788,19.1432379
28.02776967,17.08475158,19.19099874
28.07611146,17.447044,19.23022864
28.19622283,19.24273042,19.27853283
28.28010994,19.90489383,19.33002875
28.28937471,19.90960042,19.34712663
28.37772398,20.10852196,19.34832894
28.57264467,20.48868594,19.35044679
28.93142171,20.75552421,19.35283623
29.18688081,21.056468,19.35750021
29.24615483,21.37619498,19.36183333
29.49083926,21.50667473,19.3993621
29.74872708,21.65445699,19.4052826
29.86253125,21.67988658,19.44877994
30.06774569,21.71224367,19.48968008
30.11149333,21.78383633,19.49253449
30.79533723,21.97812419,19.53090483
30.86372721,21.98907964,19.53500023
30.89139239,22.09792473,19.53742215
31.14306033,22.28976373,19.56261621
31.37960165,22.31202088,19.59676973
33.11781375,22.6276451,19.63902133
33.4920499,22.66173578,19.66745333
34.57931739,22.7255109,19.68220256
34.89403423,22.80769008,19.73593491
35.67418863,23.00885875,19.75983449
35.78853367,23.01120083,19.77620269
