Non-High Focus States - Large,Non-High Focus States - Small & UT,High Focus States - Non-NE,High Focus States - Northeast
14.56411106,12.99041463,10.48123102,9.059299042
14.88596856,18.81876125,11.72218233,11.51839743
16.343788,19.35283623,11.84355908,13.5647383
16.46689313,19.4052826,12.22950272,15.60669852
17.08475158,19.66745333,12.36985574,16.19219063
17.33026829,19.95409141,12.53951869,17.16717595
17.447044,22.10114735,12.79641144,17.50391781
17.7472203,23.65041825,12.85503356,17.5070225
18.55500729,23.78999301,12.87325545,17.8566439
18.59282538,24.49765642,13.03716923,17.90494392
19.23022864,24.53083363,13.51241699,17.90700083
19.53090483,24.56822494,13.87938485,18.01619004
19.56261621,24.67146065,13.99043065,18.07082413
19.77742325,24.86756137,14.03835804,18.22864229
19.90489383,25.01903925,14.13750283,18.70425231
19.90960042,25.47772102,14.30386785,19.33002875
20.10852196,25.59531294,14.62274295,19.34712663
20.28686955,25.96565457,14.8707029,19.34832894
20.95395977,26.27405681,14.93156121,19.3993621
21.02924091,26.53613188,14.94486309,19.44877994
21.077164,26.71057976,14.95643138,19.53500023
21.21196292,26.77999815,15.03840201,19.53742215
21.47482844,27.05275587,15.1126222,19.63902133
21.55388069,27.22389473,15.12592545,19.86739193
21.74378122,28.18170396,15.37052673,19.8682839
21.84026799,28.33041841,15.39068638,20.17711021
22.05890421,28.38154165,15.46907276,20.24058444
22.09792473,29.18688081,15.47424142,20.45541983
22.10670127,30.86372721,15.48451588,20.48868594
22.2544167,32.89105144,15.4897094,20.62906217
22.3954566,12.99041463,15.53300703,20.65108233
22.42777579,18.81876125,15.60544991,20.77195708
22.57019693,19.35283623,15.61878005,21.01810625
22.8189788,19.4052826,15.63194491,21.04183352
22.93718789,19.66745333,15.648447,21.04493244
22.99019373,19.95409141,15.85332996,21.16361129
23.00885875,22.10114735,15.89102457,21.33991896
23.01120083,23.65041825,15.99112548,21.42700396
23.02992575,23.78999301,15.99951521,21.54741227
23.03747104,24.49765642,16.02210285,21.68684973
23.06406862,24.53083363,16.03322819,21.77691556
23.06564877,24.56822494,16.07490029,21.78383633
23.06817717,24.67146065,16.12749281,21.95154369
23.1570636,24.86756137,16.1991525,21.97696379
23.17670135,25.01903925,16.27878945,22.01624203
23.20407704,25.47772102,16.337744,22.10186654
23.22873799,25.59531294,16.41334954,22.33825385
23.23211675,25.96565457,16.4294855,22.40946806
23.36885629,26.27405681,16.50402529,22.54914108
23.38554604,26.53613188,16.51483056,22.56527765
23.41494283,26.71057976,16.66999289,22.5850971
23.51676864,26.77999815,16.68211675,22.62980333
23.62485557,27.05275587,16.762225,23.17684319
23.73014751,27.22389473,16.80659529,23.36819415
23.75712528,28.18170396,16.83807381,23.53367792
23.76004027,28.33041841,16.83820869,23.65174556
23.83559011,28.38154165,16.8933215,23.90486656
23.88159605,29.18688081,16.89825419,23.97934
23.9089281,30.86372721,16.9703566,23.97936889
23.9565936,32.89105144,17.08117875,23.99724658
24.00899886,12.99041463,17.08604667,24.03598711
24.02492352,18.81876125,17.09319685,24.11914525
24.07413285,19.35283623,17.14978792,25.44531756
24.08811989,19.4052826,17.29415964,25.71627627
24.09611304,19.66745333,17.32093702,28.47258498
24.10703486,19.95409141,17.3327249,28.53235313
24.12846694,22.10114735,17.42658116,28.68640122
24.1561651,23.65041825,17.50578596,29.86253125
24.24354133,23.78999301,17.55139703,9.059299042
24.25528858,24.49765642,17.69419396,11.51839743
24.28635,24.53083363,17.72733375,13.5647383
24.32009744,24.56822494,17.76628043,15.60669852
24.35013799,24.67146065,17.8932925,16.19219063
24.36121951,24.86756137,17.96259242,17.16717595
24.38882492,25.01903925,18.03858798,17.50391781
24.45075167,25.47772102,18.06071103,17.5070225
24.48429633,25.59531294,18.08434781,17.8566439
24.49887325,25.96565457,18.13529535,17.90494392
24.51818883,26.27405681,18.23183619,17.90700083
24.52303879,26.53613188,18.28563008,18.01619004
24.54396434,26.71057976,18.32746085,18.07082413
24.62883206,26.77999815,18.35870752,18.22864229
24.64479298,27.05275587,18.42733705,18.70425231
24.72651183,27.22389473,18.43889043,19.33002875
24.74655152,28.18170396,18.49216896,19.34712663
24.76331188,28.33041841,18.51398379,19.34832894
24.77539999,28.38154165,18.55469394,19.3993621
24.82920343,29.18688081,18.64437777,19.44877994
24.83151525,30.86372721,18.70590561,19.53500023
24.84596725,32.89105144,18.75341061,19.53742215
24.87442492,12.99041463,18.8450561,19.63902133
24.88840498,18.81876125,18.8535579,19.86739193
24.89817077,19.35283623,18.90582129,19.8682839
24.91335889,19.4052826,18.92233463,20.17711021
24.91584716,19.66745333,18.93457569,20.24058444
24.95023148,19.95409141,18.96470704,20.45541983
24.98180843,22.10114735,18.97524079,20.48868594
24.99852625,23.65041825,18.98814553,20.62906217
25.00040573,23.78999301,19.1432379,20.65108233
25.04633727,24.49765642,19.19099874,20.77195708
25.08892898,24.53083363,19.24273042,21.01810625
25.09615368,24.56822494,19.27853283,21.04183352
25.14163391,24.67146065,19.34371115,21.04493244
25.15797729,24.86756137,19.35044679,21.16361129
25.16905654,25.01903925,19.35750021,21.33991896
25.22101173,25.47772102,19.36183333,21.42700396
25.22627388,25.59531294,19.48968008,21.54741227
25.22785646,25.96565457,19.49253449,21.68684973
25.23251283,26.27405681,19.59676973,21.77691556
25.26393449,26.53613188,19.68220256,21.78383633
25.29003163,26.71057976,19.73593491,21.95154369
25.41292315,26.77999815,19.75983449,21.97696379
25.42016531,27.05275587,19.77620269,22.01624203
