Tripura,Sikkim,Mizoram,Assam,Meghalaya,Manipur,Arunachal Pradesh,Nagaland
,,28.47258498,,,,,
,,,17.16717595,,,,
,,,21.33991896,,,,
,,,,,19.33002875,,
,,,22.33825385,,,,
,,,17.50391781,,,,
,,,,,17.5070225,,
,,,18.07082413,,,,
,,,,,23.17684319,,
,,,20.24058444,,,,
23.97936889,,,,,,,
,,,20.77195708,,,,
,,,22.01624203,,,,
,,,21.04183352,,,,
,,,,,,,21.68684973
,21.77691556,,,,,,
,,,,11.51839743,,,
,,,,29.86253125,,,
,,,,21.42700396,,,
,,,,,,22.62980333,
,,,24.11914525,,,,
,,,21.16361129,,,,
23.99724658,,,,,,,
,,,19.53742215,,,,
,,,17.90700083,,,,
,,,19.44877994,,,,
,,,20.62906217,,,,
,,,22.5850971,,,,
20.65108233,,,,,,,
,,,23.36819415,,,,
,,,20.48868594,,,,
,,,,,,9.059299042,
,,,,,,16.19219063,
,,,28.53235313,,,,
,,21.01810625,,,,,
,,19.63902133,,,,,
,,19.34712663,,,,,
,,25.44531756,,,,,
,,19.34832894,,,,,
,,18.70425231,,,,,
,,22.40946806,,,,,
,,,,,,,20.17711021
,,,23.65174556,,,,
,,,23.53367792,,,,
,23.97934,,,,,,
22.10186654,,,,,,,
,,,,,,28.68640122,
,,,,19.53500023,,,
,,,,,17.8566439,,
,,,23.90486656,,,,
,,,21.78383633,,,,
,22.56527765,,,,,,
25.71627627,,,,,,,
,,,,,19.86739193,,
,,,,,,17.90494392,
,,,,,24.03598711,,
,,,21.54741227,,,,
,,,19.8682839,,,,
,,,,,18.22864229,,
22.54914108,,,,,,,
,21.04493244,,,,,,
,,,,21.95154369,,,
,,,,15.60669852,,,
,,,,21.97696379,,,
,,,,19.3993621,,,
,,,,20.45541983,,,
,,,,,,18.01619004,
,,,,,,,13.5647383
