Rajasthan,Himachal Pradesh,Madhya Pradesh,Odisha,Jammu & Kashmir,Chhattisgarh,Bihar,Uttar Pradesh,Jharkhand,Uttarakhand
,,21.40888957,,,,,,,
,,,,,,,23.49300729,,
,,,,,,,18.23183619,,
27.07318824,,,,,,,,,
,,,,,,,27.93618598,,
,,,,,,,21.22109249,,
,,,,,,,15.63194491,,
,,20.23281109,,,,,,,
,,,,,,,24.281158,,
,,,,,,,23.47906583,,
,,,,,,,16.9703566,,
,,,,,,,,,18.03858798
,,,,,,,,,12.22950272
26.62947831,,,,,,,,,
,,,,,,,25.53224427,,
,,21.90585231,,,,,,,
,,,,,,21.98589955,,,
,,,,,,24.21471763,,,
,,21.79165326,,,,,,,
,,,,,,,21.57866958,,
,,,,,,,19.9311659,,
,,,,,,20.71270034,,,
,,,,,,,23.10552083,,
,,,,,,,16.68211675,,
,,,,,,,,,22.69951027
,,,,,,,23.01436705,,
,,,,,,,24.86863354,,
,,,,,,,18.92233463,,
,,23.82129106,,,,,,,
,,,25.65186948,,,,,,
,,,,,,,22.74303667,,
,,,,,,,16.51483056,,
,,,,,20.09697184,,,,
,,,,,21.88796243,,,,
,,,,,,,16.07490029,,
,,,,,,,19.36183333,,
,,,,,,,11.72218233,,
,,,,,,,28.69867302,,
,,,,,,,17.76628043,,
,,,,,,18.8450561,,,
24.87318997,,,,,,,,,
,,,,,,,22.62624229,,
,,,,,,,16.03322819,,
23.89167581,,,,,,,,,
,,,,,,,23.18170188,,
,,,,,,,15.61878005,,
24.94691565,,,,,,,,,
,,21.50667473,,,,,,,
,,,,,,,29.11769241,,
,,,,,,,19.24273042,,
,,,,,,,15.648447,,
,,,,,,23.52051395,,,
,,,,,21.09733937,,,,
,,24.73380431,,,,,,,
,,,,,,21.49095056,,,
25.02528694,,,,,,,,,
27.68685974,,,,,,,,,
,,30.06774569,,,,,,,
,,,,,,22.77391919,,,
,,23.12803002,,,,,,,
,,,,,,,21.04637144,,
,,,,,,,13.03716923,,
,23.91813715,,,,,,,,
,,,,,23.02230665,,,,
,,,,,,,,15.47424142,
,,,,,,,23.11291646,,
,,,,,,,17.09319685,,
,,,,,,,29.39570379,,
,,,,,,,17.50578596,,
,,,,,,,17.42658116,,
,,,,,,,17.08604667,,
24.28396352,,,,,,,,,
,,21.95068792,,,,,,,
,,,,,,17.29415964,,,
,24.04266298,,,,,,,,
,,,,,,,,,18.49216896
,,,,,,,,,17.08117875
,,,,,,,23.54160375,,
,,,,,,,20.84742348,,
,,,,,,,20.08905356,,
,,,,,,,,15.89102457,
,,23.27254423,,,,,,,
,,26.02112333,,,,,,,
,,,,,,,20.53058446,,
25.03027201,,,,,,,,,
27.78566234,,,,,,,,,
,,22.31202088,,,,,,,
,,,,,22.24770065,,,,
,,22.11512583,,,,,,,
24.51817985,,,,,,,,,
,,,,,,,,20.47648834,
,,,,,,,22.7255109,,
,,,,,,,16.27878945,,
,,24.97619145,,,,,,,
,,,,,23.63684781,,,,
,,23.45976094,,,,,,,
26.36126344,,,,,,,,,
,,22.05514954,,,,,,,
,,,,,,,,22.01880561,
23.37530211,,,,,,,,,
,,,,,26.43746498,,,,
,,,,,,19.867938,,,
,,,,,,,21.93650792,,
,,,,,,,13.99043065,,
,,,,,,,22.80769008,,
,,,,,,,14.13750283,,
,,,,,,,21.37619498,,
,,,,,,,19.35750021,,
,,,,,,,15.12592545,,
,,,,,,,23.44398896,,
,,,,,,,17.72733375,,
,,,,,,,15.46907276,,
,,,,,,,20.87507188,,
,,,,,,,14.94486309,,
,,,,,,,17.69419396,,
,,,,,,,12.36985574,,
26.95891408,,,,,,,,,
,,,,,,,,24.98393483,
,,,,,,,,,20.37929604
,,,,,,,,,10.48123102
,,,,,16.1991525,,,,
,,,,,,,22.55306215,,
,,,,,,21.11236996,,,
,,,,,,,23.47891494,,
,,,,,,,18.93457569,,
,,,,,,,14.30386785,,
,,,,,,,22.89204792,,
,,,,,,,16.50402529,,
,,,,,,,,26.37695813,
,,,,,,,,16.83807381,
,,,,,,,22.34786306,,
,,,,,,,12.53951869,,
,,,,,,21.63202675,,,
,,,,,,,23.72930113,,
,,,,,,,16.4294855,,
,,,,,,,,18.97524079,
,,24.77590275,,,,,,,
,,23.67891133,,,,,,,
,,,,,,,20.29385171,,
,,,,,,,14.95643138,,
,23.04716591,,,,,,,,
25.69022829,,,,,,,,,
,,24.95580369,,,,,,,
,,,,,,,22.29706717,,
,,,,,,,15.03840201,,
,,,,,,,,,20.49470238
,,,,,,,,,13.87938485
,,,,,,,24.82560359,,
,,,,,,,22.85841045,,
,,,,,,,,28.28010994,
,,24.6787499,,,,,,,
,,22.42352402,,,,,,,
,,23.48003644,,,,,,,
25.53936854,,,,,,,,,
,,,21.60952423,,,,,,
,,,,,,,19.90035271,,
,,,,,,,14.03835804,,
23.07228597,,,,,,,,,
,,,,23.12685917,,,,,
,,,,14.93156121,,,,,
,,,,22.05372646,,,,,
,,,,19.1432379,,,,,
,,,,26.29513448,,,,,
,,,,19.68220256,,,,,
,,,,21.30596279,,,,,
,,,,23.49972563,,,,,
,,,,20.75191854,,,,,
,,,,22.51136923,,,,,
,,,,27.16995876,,,,,
,,,,29.34009154,,,,,
,,,,21.12579517,,,,,
,,,,23.61353648,,,,,
,,,,18.28563008,,,,,
,,,,18.06071103,,,,,
,,,,27.09998163,,,,,
,,,,20.57041715,,,,,
,,,,24.85264438,,,,,
,,,,29.54604518,,,,,
,,,,,,,,21.12210929,
,,,,,,21.82091844,,,
,,,,,21.64625456,,,,
,,,,,23.32056589,,,,
,,,,,,,21.40679417,,
,,,,,,,15.1126222,,
,,,,,,19.86900321,,,
,,24.13505447,,,,,,,
,,,,,,,24.30118814,,
,,,,,,,15.85332996,,
26.89098043,,,,,,,,,
,,,,,,,19.19099874,,
,,,,,,18.42733705,,,
,21.97812419,,,,,,,,
,,,,,22.98804587,,,,
,,,,,,,24.19681186,,
,,,,,,,19.49253449,,
,,,,,,,23.55221875,,
,,,,,,,21.20978842,,
,,,,,,,20.04379917,,
,,,,,,,18.90582129,,
23.88718926,,,,,,,,,
,,,,,,,26.82788375,,
,,,,,,19.59676973,,,
,,24.08747591,,,,,,,
,,,,,,,21.57034469,,
,,,,,22.6764812,,,,
,,,,,,23.13922465,,,
,,24.18372089,,,,,,,
,,23.73327506,,,,,,,
,,,27.7336773,,,,,,
,,,,,,,,23.03435952,
,,,,,,18.8535579,,,
,,,,,,,,26.17583692,
,,,,,18.70590561,,,,
,,,,,24.67140693,,,,
,23.10396143,,,,,,,,
,,,,,,,25.33986879,,
,27.03086646,,,,,,,,
,,,,,,,22.43187083,,
,,,,,,,16.337744,,
,,,,,,18.75341061,,,
,,,,,,,26.55285279,,
,,,,,,,15.60544991,,
,,,,,,,,15.48451588,
,,,,23.63630758,,,,,
,,,,,,,,18.32746085,
,,,,,,,27.63793406,,
,,,,,,,27.25507485,,
,,,,,,,25.72651917,,
,,,,,,,22.4776316,,
,,,,,,,20.61643877,,
,,,,,,,18.13529535,,
,,,,,,,17.96259242,,
,,,,,,,17.3327249,,
,,,,,,,16.8933215,,
,,,,,,22.86384381,,,
,,,,,,21.11840611,,,
,,,,,,,23.02328219,,
,,,,,22.43589942,,,,
,,,,,,,22.08719784,,
,,,,,,,28.97654604,,
,,,,,,,23.88113121,,
,,,,,,,23.09126813,,
,25.41713287,,,,,,,,
,,24.66170393,,,,,,,
,,25.379227,,,,,,,
,,,,,,,23.2556318,,
,,,,,,,22.6143025,,
,,,,,,,22.24322071,,
,,,,,,,24.99459089,,
,,,,,,,22.86682131,,
,,,25.58329489,,,,,,
,,,,,,,23.09172906,,
,,,,,,,15.53300703,,
,,,,,,,27.5536364,,
,,,,,,,25.62894104,,
,,,,,,,23.94048583,,
,,,,,,,15.39068638,,
,,25.50503333,,,,,,,
,,,,,19.48968008,,,,
,,,,,,19.73593491,,,
,,,,,,,24.3970343,,
,,,,,,,18.43889043,,
,,,,,,20.90494104,,,
21.65445699,,,,,,,,,
,,,,,,,,,22.25213354
,,,,,,,,,11.84355908
,,,,,,21.056468,,,
,,,,,16.89825419,,,,
,,23.14973231,,,,,,,
,,,,,,21.38521633,,,
,,23.38987604,,,,,,,
,,,23.25801317,,,,,,
,,,26.54196915,,,,,,
,,,20.67131254,,,,,,
,,,16.83820869,,,,,,
,,,31.8203283,,,,,,
,,,18.64437777,,,,,,
,,,21.11537298,,,,,,
,,,22.66173578,,,,,,
,,,22.42938104,,,,,,
,,,29.62146331,,,,,,
,,,22.55693613,,,,,,
,,,21.76144619,,,,,,
,,,24.85555958,,,,,,
,,,24.56074023,,,,,,
,,,23.97803523,,,,,,
,,,23.92038752,,,,,,
,,,22.13822751,,,,,,
,,,26.10367146,,,,,,
,,,22.68461627,,,,,,
,,,17.14978792,,,,,,
,,,22.19269854,,,,,,
,,,20.28459554,,,,,,
,,,18.55469394,,,,,,
,,,16.41334954,,,,,,
,,,22.3339395,,,,,,
,,,,,,,,12.85503356,
,,,,,,,,21.21432356,
24.54290631,,,,,,,,,
,,22.02471717,,,,,,,
,,,,,,,,19.27853283,
,,,,,,,23.72122063,,
,,,,,,,16.80659529,,
,,,,,,,,,21.171686
,,,,,,,,,12.87325545
