Dadra & Nagar Haveli,Delhi,Chandigarh,Puducherry,Daman & Diu,A & N Islands,Lakshadweep
,25.01903925,,,,,
,24.49765642,,,,,
,19.4052826,,,,,
,,25.96565457,,,,
29.18688081,,,,,,
,,,,24.53083363,,
,,,,19.35283623,,
,28.33041841,,,,,
,,,26.27405681,,,
,,,,,,12.99041463
,,,23.65041825,,,
,,,,,18.81876125,
,26.77999815,,,,,
,24.86756137,,,,,
,23.78999301,,,,,
,,,,,19.66745333,
,25.59531294,,,,,
,28.38154165,,,,,
,28.18170396,,,,,
,24.67146065,,,,,
,,,19.95409141,,,
,32.89105144,,,,,
,26.71057976,,,,,
,26.53613188,,,,,
,,,,,24.56822494,
,27.22389473,,,,,
,30.86372721,,,,,
,27.05275587,,,,,
,25.47772102,,,,,
,,,22.10114735,,,
